"pop","CAR","CBI","CHL","CLK","COT","CPL","CYH","DCK","DEN","DPR","DUN","EDM","FBK","FIS","FNO","FRE","FTM","GAL","GAM","GIL","GPR","GRA","HAY","HBY","HST","HWK","INU","JKH","KAP","KUU","LAB","LON","LOV","LPD","MBK","MEL","MGR","MMT","MSG","MTN","NBY","NEG","NOM","NWL","OFR","OUT","POR","RAD","RMP","RNA","ROS","SKN","SLC","SOU","SRD","SSR","STL","STO","TIM","TUR","USDA_1","USDA_10","USDA_12","USDA_13","USDA_14","USDA_15","USDA_16","USDA_17","USDA_18","USDA_2","USDA_21","USDA_3","USDA_4","USDA_5","USDA_6","USDA_7","USDA_9","WHR","WLK","WOL","WTR"
"INU",0.1174,0.3446,0.2136,0.1039,0.0173,0.2226,0.1806,0.1189,0.0998,0.1745,0.1628,0.1274,0.121,0.4653,0.2323,0.3342,0.1218,0.0914,0.2147,0.1101,0.1787,0.123,0.1086,0.1057,0.1579,0.4965,0,0.6256,0.1281,0.3579,0.4699,0.2062,0.1115,0.2375,0.4861,0.1216,0.4031,0.1253,0.5335,0.2878,0.1625,0.4361,0.1456,0.0732,0.101,0.1372,0.1597,0.3045,0.3436,0.171,0.3375,0.1239,0.1425,0.159,0.1347,0.6489,0.1761,0.1064,0.2195,0.097,0.1958,0.1733,0.1947,0.1444,0.1966,0.1615,0.1371,0.2469,0.19,0.137,0.2536,0.2069,0.1498,0.2453,0.1822,0.1755,0.2197,0.1102,0.2331,0.1096,0.1737
"JKH",0.5568,0.5616,0.5119,0.5717,0.6392,0.5431,0.3354,0.5665,0.5606,0.5562,0.5788,0.5607,0.5843,0.6351,0.2927,0.5644,0.5198,0.5842,0.566,0.5778,0.3533,0.5635,0.5721,0.5246,0.5903,0.65,0.6256,0,0.5412,0.5994,0.6465,0.5712,0.566,0.5503,0.6365,0.5063,0.6114,0.5702,0.0854,0.5633,0.5263,0.4722,0.6241,0.5917,0.5443,0.4302,0.5239,0.5658,0.35,0.58,0.4492,0.543,0.5315,0.5525,0.5403,0.0523,0.4854,0.5572,0.5961,0.5317,0.5227,0.561,0.5445,0.5377,0.5478,0.5697,0.5677,0.6019,0.4356,0.5632,0.5546,0.5532,0.5811,0.5815,0.5483,0.5459,0.5674,0.5781,0.3106,0.5764,0.5383
"KAP",0.0206,0.1512,0.0138,0.0103,0.1559,0.0169,0.085,0.0065,0.0144,0.0107,0.0031,0.0045,0.0252,0.2675,0.1304,0.1144,0,0.0172,0.0081,0.0111,0.0761,0.0067,0.0011,0,0,0.2857,0.1281,0.5412,0,0.1278,0.2453,0.0123,0.0054,0.0175,0.2825,0,0.1886,0.002,0.4449,0.1241,0,0.2811,0.1121,0.0746,0.0061,0.0216,0,0.0875,0.2267,0.0323,0.17,0,0,0,0.0042,0.564,0.0269,0.0014,0.0142,0,0.0315,0.0132,0.0092,0,0.0355,0.0129,0.0204,0.036,0.015,0.0069,0.0542,0.0121,0,0.0287,0,0.0017,0.0085,0.0486,0.1251,0.0355,0.0104
"KUU",0.2075,0.0782,0.1086,0.221,0.3737,0.1455,0.237,0.2052,0.2201,0.1338,0.1591,0.1983,0.2135,0.1099,0.2491,0.0089,0.1663,0.2367,0.1152,0.2268,0.235,0.1653,0.1943,0.1849,0.1522,0.1047,0.3579,0.5994,0.1278,0,0.1002,0.148,0.1908,0.0986,0.077,0.1948,0.0414,0.2074,0.5227,0.0552,0.1323,0.2903,0.3464,0.3094,0.2018,0.1653,0.1405,0.0476,0.3647,0.178,0.1753,0.1931,0.1436,0.1266,0.1695,0.6277,0.1449,0.1875,0.1277,0.2015,0.1029,0.1424,0.1293,0.1233,0.1188,0.1755,0.2074,0.1515,0.1201,0.1592,0.1812,0.1138,0.1797,0.1267,0.1086,0.1421,0.0882,0.2622,0.2496,0.2383,0.1119
"LAB",0.3139,0.1349,0.2086,0.3209,0.4913,0.2454,0.3176,0.306,0.3297,0.251,0.265,0.3011,0.3105,0.1305,0.3304,0.0848,0.2674,0.3491,0.2259,0.3353,0.3168,0.2815,0.2951,0.2888,0.2694,0.15,0.4699,0.6465,0.2453,0.1002,0,0.2568,0.2923,0.2007,0.1432,0.3035,0.1169,0.3096,0.5779,0.1152,0.214,0.308,0.437,0.4101,0.3096,0.2697,0.2227,0.1496,0.4401,0.2785,0.2045,0.3062,0.2409,0.2458,0.2628,0.6726,0.2305,0.2849,0.2462,0.3045,0.2096,0.2545,0.2408,0.2347,0.2383,0.2821,0.3268,0.2259,0.2153,0.2735,0.2927,0.217,0.2824,0.2029,0.2086,0.2399,0.2057,0.3756,0.3286,0.3578,0.2083
"LON",0.0735,0.195,0.0028,0.052,0.2457,0.0349,0.1307,0.0698,0.0628,0.0284,0.0241,0.0571,0.0962,0.3144,0.1587,0.1282,0.0395,0.0827,0,0.0772,0.1298,0.0324,0.0581,0.0359,0.0031,0.3198,0.2062,0.5712,0.0123,0.148,0.2568,0,0.0509,0.006,0.3163,0.0523,0.2098,0.0463,0.4781,0.1725,0,0.2827,0.1959,0.1625,0.0594,0.0524,0.018,0.1089,0.2991,0.0584,0.1873,0.0535,0.0099,0.0057,0.0692,0.5949,0.0633,0.0492,0.02,0.0407,0.0253,0.0096,0,0,0.0244,0.0328,0.0363,0.0039,0.0074,0.0129,0.0543,0,0.0251,0,0,0,0,0.1292,0.1673,0.0986,0.0107
"LOV",0,0.2061,0.0591,0.0013,0.1441,0.0545,0.1064,0.0031,0,0.0383,0.017,2e-04,0.0211,0.3267,0.1513,0.1714,0,0.0084,0.0679,0.0064,0.0886,0,0,0,0.0166,0.3486,0.1115,0.566,0.0054,0.1908,0.2923,0.0509,0,0.0645,0.342,0.0032,0.252,0,0.4718,0.1671,0.0242,0.3247,0.0687,0.0396,0,0.0364,0.0087,0.1392,0.2583,0.0124,0.2229,0.006,0.0129,0.0125,0.0056,0.5897,0.0267,0.0014,0.0547,0,0.0654,0.0313,0.0487,0.0146,0.0465,0.0227,0.0318,0.0623,0.0647,0.0186,0.102,0.056,0.0156,0.0599,0.0148,0.0337,0.0487,0.0491,0.1426,0.0259,0.0203
"LPD",0.0767,0.1308,0,0.0728,0.2697,0.0225,0.1248,0.0619,0.0879,0.0169,0.0358,0.0618,0.0994,0.2523,0.1644,0.0771,0.027,0.0987,0.0081,0.0918,0.1239,0.0501,0.0673,0.0493,0.025,0.2516,0.2375,0.5503,0.0175,0.0986,0.2007,0.006,0.0645,0,0.2366,0.0549,0.1499,0.0547,0.4647,0.1347,0.0135,0.2463,0.2161,0.174,0.0746,0.0479,0.0213,0.0631,0.2599,0.0596,0.1432,0.0505,0.0206,0.0134,0.0497,0.5809,0.0408,0.0657,0.0246,0.068,0.0291,0.0377,0.0144,0.0098,0.0312,0.0439,0.0675,0.0166,0.0173,0.0305,0.0557,0,0.0387,0.0016,0,0.0134,0,0.1393,0.1606,0.1164,0.0128
"MBK",0.3558,0.0904,0.2428,0.3604,0.5025,0.2815,0.3386,0.3475,0.3745,0.2891,0.3171,0.3454,0.3493,0.0832,0.3445,0.0754,0.3046,0.3786,0.2616,0.3849,0.343,0.3229,0.3399,0.3316,0.323,0.0338,0.4861,0.6365,0.2825,0.077,0.1432,0.3163,0.342,0.2366,0,0.3389,0.063,0.3529,0.5679,0.1202,0.2813,0.2944,0.4731,0.4345,0.3488,0.2799,0.2772,0.1007,0.4335,0.3237,0.1944,0.3358,0.2913,0.2835,0.3064,0.6685,0.2719,0.3438,0.2993,0.3424,0.2478,0.3067,0.2884,0.28,0.2712,0.3312,0.3656,0.3119,0.2461,0.3142,0.3078,0.27,0.3429,0.2835,0.2758,0.2989,0.2503,0.4053,0.3483,0.3853,0.2525
"MEL",7e-04,0.2034,0.0281,0.0097,0.1555,0.0186,0.0479,0.0104,0.0028,0.0413,0.0167,0.0049,0.0311,0.3284,0.0996,0.1658,0,0.0209,0.0432,0.0168,0.0384,0.0117,0.0015,0,0.0275,0.348,0.1216,0.5063,0,0.1948,0.3035,0.0523,0.0032,0.0549,0.3389,0,0.2464,0.0016,0.4071,0.1739,0.0162,0.287,0.0808,0.0559,0.0101,0.0095,0.0082,0.1301,0.1821,0.0376,0.1941,0,0.0029,0.009,0.0067,0.5307,0.0149,0.0066,0.0491,0,0.0599,0.0374,0.0424,0.003,0.0548,0.0359,0.0392,0.057,0.0257,0.0225,0.0718,0.0496,0.017,0.0504,0.0157,0.0403,0.0389,0.0483,0.0774,0.0127,0.0229
"MGR",0.2691,0.0472,0.1535,0.2753,0.4338,0.1967,0.2648,0.271,0.2835,0.2006,0.2308,0.2657,0.2761,0.1219,0.2823,0.0444,0.2154,0.2987,0.1727,0.2965,0.2722,0.2341,0.2449,0.2416,0.2223,0.0879,0.4031,0.6114,0.1886,0.0414,0.1169,0.2098,0.252,0.1499,0.063,0.2464,0,0.2584,0.5353,0.0966,0.1741,0.252,0.394,0.3562,0.2651,0.2048,0.194,0.0728,0.385,0.2402,0.1541,0.2446,0.1862,0.203,0.2269,0.6373,0.2,0.2403,0.1927,0.2462,0.1623,0.2108,0.1932,0.1755,0.194,0.2238,0.2658,0.202,0.1536,0.2038,0.2304,0.1694,0.2579,0.1894,0.1534,0.2145,0.171,0.3268,0.289,0.3044,0.1725
"MMT",0,0.2071,0.0372,0,0.1653,0.0461,0.1063,0.0015,0,0.0305,0.0139,0.0028,0.0192,0.3478,0.1491,0.1809,0,0.0029,0.0462,0.0068,0.0899,0,0,0,0.0191,0.3599,0.1253,0.5702,0.002,0.2074,0.3096,0.0463,0,0.0547,0.3529,0.0016,0.2584,0,0.4791,0.191,0.0197,0.3149,0.075,0.0544,0,0.0184,0.008,0.1464,0.2614,0.0105,0.2107,0.0015,0.015,0.008,0.0054,0.597,0.0222,0.0068,0.0403,0.0013,0.0726,0.0281,0.0411,0.011,0.0599,0.0511,0.0392,0.0362,0.0605,0.0151,0.0955,0.0491,1e-04,0.0595,0,0.0315,0.0423,0.0369,0.136,0.0128,0.0293
"MSG",0.4637,0.4773,0.4283,0.4797,0.5494,0.4446,0.2394,0.476,0.4688,0.4682,0.4883,0.4695,0.4946,0.561,0.1741,0.4827,0.4339,0.4938,0.471,0.4895,0.2526,0.4737,0.4762,0.4275,0.4981,0.5774,0.5335,0.0854,0.4449,0.5227,0.5779,0.4781,0.4718,0.4647,0.5679,0.4071,0.5353,0.4791,0,0.4806,0.4319,0.4186,0.5347,0.5013,0.4455,0.3316,0.4317,0.4793,0.2531,0.4873,0.3874,0.4443,0.4425,0.4619,0.45,0.0823,0.3931,0.4673,0.5084,0.4274,0.426,0.4666,0.4509,0.4407,0.4565,0.4632,0.4822,0.5155,0.3234,0.4707,0.4464,0.4567,0.4974,0.4933,0.454,0.4639,0.4759,0.4892,0.2154,0.4856,0.4456
"MTN",0.1857,0.0929,0.1308,0.193,0.3059,0.152,0.1927,0.1757,0.1991,0.1438,0.1582,0.1786,0.1645,0.1,0.215,0.0317,0.1489,0.1929,0.1296,0.1966,0.1957,0.156,0.158,0.1638,0.1597,0.1593,0.2878,0.5633,0.1241,0.0552,0.1152,0.1725,0.1671,0.1347,0.1202,0.1739,0.0966,0.191,0.4806,0,0.1306,0.2748,0.2799,0.2359,0.1678,0.149,0.1339,0.1049,0.3064,0.1703,0.1547,0.1702,0.1324,0.1407,0.1422,0.5942,0.1383,0.1635,0.165,0.1705,0.1016,0.1579,0.1517,0.1251,0.1074,0.1615,0.1851,0.1793,0.1207,0.157,0.1752,0.1306,0.1737,0.1624,0.1229,0.1324,0.1162,0.2235,0.2284,0.2001,0.1027
"NBY",0.0399,0.1468,0,0.0234,0.2136,0.0156,0.0865,0.0436,0.033,0.0142,0.0158,0.0337,0.0617,0.2779,0.1177,0.1146,0.0082,0.0552,0,0.0433,0.0883,0.0173,0.0217,0.0139,0,0.29,0.1625,0.5263,0,0.1323,0.214,0,0.0242,0.0135,0.2813,0.0162,0.1741,0.0197,0.4319,0.1306,0,0.2499,0.1413,0.1167,0.0346,0.0257,0,0.0925,0.2376,0.0382,0.1577,0.0255,0,0.0015,0.037,0.547,0.0307,0.0113,0.0065,0.0151,0.0154,0.0079,0,0,0.0277,0.0113,0.0222,0.0016,0,0,0.0596,0,0.0086,0,0,0,0.0039,0.0856,0.1186,0.0661,0.0033
"NEG",0.3326,0.2282,0.2111,0.3231,0.4533,0.264,0.2442,0.3332,0.3355,0.2866,0.3054,0.3231,0.3372,0.2974,0.2363,0.2347,0.2746,0.3468,0.2543,0.3611,0.2464,0.3133,0.3251,0.2951,0.3128,0.292,0.4361,0.4722,0.2811,0.2903,0.308,0.2827,0.3247,0.2463,0.2944,0.287,0.252,0.3149,0.4186,0.2748,0.2499,0,0.4196,0.3829,0.325,0.2058,0.2516,0.2289,0.3074,0.314,0.0228,0.3065,0.2604,0.2763,0.2898,0.5162,0.259,0.3171,0.3009,0.2991,0.2266,0.2792,0.25,0.247,0.265,0.2843,0.3056,0.2651,0.2032,0.2779,0.291,0.2607,0.3032,0.2614,0.2634,0.2643,0.2653,0.3747,0.2449,0.3504,0.2384
"NOM",0.075,0.3255,0.1847,0.0729,0.1529,0.1777,0.1632,0.084,0.0403,0.1642,0.0958,0.0632,0.0741,0.4535,0.2074,0.3039,0.0834,0.0352,0.1842,0.0782,0.137,0.0928,0.0528,0.0758,0.1398,0.4883,0.1456,0.6241,0.1121,0.3464,0.437,0.1959,0.0687,0.2161,0.4731,0.0808,0.394,0.075,0.5347,0.2799,0.1413,0.4196,0,0.0525,0.078,0.112,0.1097,0.2704,0.3424,0.1133,0.3187,0.0848,0.1195,0.1092,0.0712,0.6501,0.1463,0.073,0.1808,0.0607,0.1982,0.1641,0.1704,0.1242,0.1738,0.1713,0.1312,0.1983,0.1751,0.1279,0.2253,0.1889,0.1182,0.2004,0.168,0.1661,0.1849,0.0446,0.1895,0.0543,0.1324
"NWL",0.047,0.2919,0.1536,0.0363,0.1013,0.1521,0.1226,0.0333,0.0244,0.1251,0.0892,0.0557,0.0336,0.4189,0.1754,0.2682,0.0415,0.006,0.1646,0.0496,0.1096,0.0716,0.0398,0.0535,0.1062,0.4522,0.0732,0.5917,0.0746,0.3094,0.4101,0.1625,0.0396,0.174,0.4345,0.0559,0.3562,0.0544,0.5013,0.2359,0.1167,0.3829,0.0525,0,0.0369,0.0778,0.0754,0.2458,0.2753,0.1006,0.2741,0.0437,0.0848,0.0884,0.041,0.6217,0.0946,0.0435,0.1701,0.036,0.1326,0.1115,0.1436,0.0941,0.1311,0.1049,0.0848,0.1753,0.1479,0.0854,0.179,0.1554,0.0838,0.1961,0.1115,0.1182,0.1649,0.0424,0.1714,0.035,0.1078
"OFR",0.0013,0.2124,0.0633,0.0176,0.1251,0.0735,0.0877,0.0017,0,0.0341,0.0218,0,0.0206,0.3314,0.1346,0.1806,0.0077,0.0035,0.0678,0,0.0752,0.0079,0.0099,0,0.0245,0.3571,0.101,0.5443,0.0061,0.2018,0.3096,0.0594,0,0.0746,0.3488,0.0101,0.2651,0,0.4455,0.1678,0.0346,0.325,0.078,0.0369,0,0.0265,0.0254,0.1487,0.2406,0.0186,0.2207,0,0.0266,0.0214,3e-04,0.5657,0.0303,0.0155,0.0664,0,0.0709,0.0346,0.0548,0.0211,0.0552,0.0336,0.0532,0.0791,0.0587,0.0397,0.0837,0.0503,0.0226,0.0841,0.02,0.0459,0.0572,0.0248,0.122,0.0073,0.033
"OUT",0.0262,0.1535,0.0239,0.0308,0.1642,0.0416,0.0254,0.0337,0.029,0.0418,0.0366,0.0367,0.0433,0.2813,0.0477,0.1389,0.0073,0.0363,0.0413,0.0527,0.0256,0.029,0.0275,0.0052,0.0491,0.2939,0.1372,0.4302,0.0216,0.1653,0.2697,0.0524,0.0364,0.0479,0.2799,0.0095,0.2048,0.0184,0.3316,0.149,0.0257,0.2058,0.112,0.0778,0.0265,0,0.017,0.1136,0.1421,0.0505,0.1203,0.0171,0.0196,0.0189,0.0204,0.4617,0.0153,0.027,0.0566,0.0116,0.0311,0.0288,0.0275,0.0085,0.0477,0.0405,0.0399,0.0641,0.0015,0.0197,0.0587,0.0457,0.0412,0.0631,0.0052,0.0294,0.0375,0.0577,0.0458,0.0495,0.0322
"POR",0.0282,0.1675,0.0161,0.031,0.1983,0.0138,0.0795,0.0205,0.0211,0.0386,0.0091,0.0282,0.0382,0.2743,0.1076,0.1016,0,0.0283,0.0148,0.035,0.0715,0.0213,0.0101,0.0072,0.0119,0.2998,0.1597,0.5239,0,0.1405,0.2227,0.018,0.0087,0.0213,0.2772,0.0082,0.194,0.008,0.4317,0.1339,0,0.2516,0.1097,0.0754,0.0254,0.017,0,0.0957,0.2064,0.0239,0.1521,0.0147,0,0,0.0017,0.5495,0,0.0133,0.0362,0.0152,0.016,0.0065,0.0027,0,0.0027,0.0218,0.0204,0.0049,0.0044,8e-04,0.0476,0.0063,0.013,0.0253,0,0,0.0143,0.0745,0.1049,0.049,0.006
"RAD",0.154,0.0397,0.065,0.1512,0.3174,0.0669,0.1832,0.1418,0.1681,0.0985,0.0952,0.1321,0.156,0.1278,0.1969,0.0392,0.1103,0.1706,0.0612,0.1791,0.1847,0.1306,0.1399,0.1287,0.107,0.1235,0.3045,0.5658,0.0875,0.0476,0.1496,0.1089,0.1392,0.0631,0.1007,0.1301,0.0728,0.1464,0.4793,0.1049,0.0925,0.2289,0.2704,0.2458,0.1487,0.1136,0.0957,0,0.2951,0.1273,0.1356,0.1271,0.0916,0.0766,0.119,0.5929,0.1016,0.1448,0.0821,0.1405,0.0855,0.0998,0.0807,0.0675,0.1113,0.1149,0.1741,0.1122,0.0864,0.1189,0.1196,0.0721,0.1185,0.0782,0.085,0.1087,0.0538,0.2144,0.2033,0.179,0.06
"RMP",0.2425,0.3229,0.2245,0.2656,0.3701,0.2208,0.0905,0.2437,0.2616,0.2568,0.2829,0.2565,0.2733,0.4293,0.1191,0.3168,0.2023,0.2741,0.2635,0.2664,0.1232,0.2744,0.2581,0.2166,0.296,0.4653,0.3436,0.35,0.2267,0.3647,0.4401,0.2991,0.2583,0.2599,0.4335,0.1821,0.385,0.2614,0.2531,0.3064,0.2376,0.3074,0.3424,0.2753,0.2406,0.1421,0.2064,0.2951,0,0.2958,0.2352,0.2199,0.2211,0.2554,0.2252,0.3874,0.1766,0.2499,0.3055,0.2323,0.2336,0.2647,0.2524,0.236,0.2714,0.2767,0.2806,0.3256,0.1625,0.2693,0.2665,0.2794,0.2799,0.3145,0.2567,0.2596,0.2891,0.2913,0.1388,0.2739,0.2452
"RNA",0.0262,0.1973,0.0498,0.0535,0.1933,0.0593,0.1419,0.0336,0.026,0.038,0.0274,0.0218,0.0365,0.3051,0.168,0.1593,0.0353,0.0423,0.0568,0.043,0.12,0.0209,0.0287,0.0171,0.0263,0.3269,0.171,0.58,0.0323,0.178,0.2785,0.0584,0.0124,0.0596,0.3237,0.0376,0.2402,0.0105,0.4873,0.1703,0.0382,0.314,0.1133,0.1006,0.0186,0.0505,0.0239,0.1273,0.2958,0,0.215,0.0259,0.0388,0.0212,0.0172,0.6023,0.0271,0.0464,0.0406,0.0332,0.0863,0.0501,0.052,0.0342,0.066,0.0262,0.0811,0.0339,0.0738,0.0422,0.0901,0.0619,0.0418,0.054,0.021,0.0686,0.0421,0.0748,0.1462,0.0458,0.0252
"ROS",0.2317,0.1267,0.1185,0.2217,0.356,0.1702,0.1684,0.2231,0.2371,0.1869,0.2009,0.2197,0.2269,0.1951,0.1733,0.1238,0.169,0.2377,0.153,0.2538,0.1705,0.2083,0.2164,0.1977,0.2084,0.2016,0.3375,0.4492,0.17,0.1753,0.2045,0.1873,0.2229,0.1432,0.1944,0.1941,0.1541,0.2107,0.3874,0.1547,0.1577,0.0228,0.3187,0.2741,0.2207,0.1203,0.1521,0.1356,0.2352,0.215,0,0.2033,0.1599,0.1746,0.1833,0.4934,0.1591,0.2128,0.1982,0.2011,0.1276,0.1806,0.1543,0.1425,0.161,0.1819,0.2088,0.1664,0.1226,0.1758,0.1953,0.1569,0.1955,0.1664,0.1499,0.1574,0.1591,0.2704,0.1844,0.2457,0.14
"SKN",0.0087,0.2019,0.0376,0.0067,0.1515,0.0337,0.0737,0.0032,0,0.0345,0.0055,0,0.0084,0.3255,0.1241,0.1618,0,0.0084,0.0452,0.0178,0.0691,0.0081,0.0058,0,0.0194,0.3471,0.1239,0.543,0,0.1931,0.3062,0.0535,0.006,0.0505,0.3358,0,0.2446,0.0015,0.4443,0.1702,0.0255,0.3065,0.0848,0.0437,0,0.0171,0.0147,0.1271,0.2199,0.0259,0.2033,0,0.0126,0,0,0.5695,0.0294,0.0126,0.05,0,0.0492,0.0322,0.0402,0.004,0.0547,0.0193,0.0563,0.0602,0.0337,0.0234,0.0382,0.0378,0.0248,0.0594,0.0069,0.0561,0.0368,0.04,0.1055,0.0108,0.0253
